Battle,battle_location,Enemy,Lvl,HP,XP,GP,AtkMult,HitPercent,Atk,DefMul,Evade,Defense,MDefMult,MagicEvade,MDef,MinSpd,MaxSpd,SpellPower,ScriptValue1,ScriptValue2,ScriptValue3,ScriptValue4
antlion,Pale Dim (Lunar Sub),Antlion,98,27300,59000,0,11,85,144,0,0,5,10,50,48,40,43,0,,,,
antlion,Plague (Lunar Sub),Antlion,96,28000,31200,550,11,90,146,0,0,5,7,50,32,29,32,0,,,,
antlion,Rubicant (Upper Babil 2),Antlion,50,25200,25000,7000,7,80,88,0,0,1,8,80,37,38,38,0,,,,
antlion,Valvalis (Zot 2),Antlion,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,0,,,,
antlion,Wyvern (Lunar Sub),Antlion,99,25000,64300,0,12,90,160,0,0,5,10,50,52,43,46,0,,,,
asura,Antlion Cave,Asura,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,3,,,,
asura,Asura (Feymarch),Asura,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
asura,Cave Bahamut,Asura,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
asura,Baigan (Baron Castle 1),Asura,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
asura,Calbrena (Dwarf Castle 1),Asura,47,8524,21000,8000,7,99,96,1,80,2,6,60,25,11,11,41,,,,
asura,CPU (Giant 2),Asura,48,24000,150000,10333,13,99,174,4,45,4,8,50,38,38,38,127,,,,
asura,Cave Magnes,Asura,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
asura,Dark Imp (Tower Key),Asura,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,18,,,,
asura,D Lunar (Lunar Sub),Asura,99,42000,100000,0,11,85,144,3,30,4,10,80,54,30,30,36,,,,
asura,Mist Cave,Asura,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
asura,Elements (Giant 1),Asura,79,65000,102500,20000,10,80,128,2,35,3,3,60,4,89,89,15,,,,
asura,Sealed Cave,Asura,37,19000,23000,8000,6,90,84,1,35,2,7,80,29,66,66,79,,,,
asura,Fabul Defense,Asura,15,1880,5590,1425,3,90,36,2,20,2,3,60,11,6,9,17,,,,
asura,Golbez (Dwarf Castle 2),Asura,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
asura,Baron Guards (Baron Inn 1),Asura,18,400,1440,1000,3,99,46,1,90,1,3,40,14,11,14,26,,,,
asura,Baron Throne Room,Asura,16,4000,5500,4000,3,99,44,2,50,2,10,50,48,15,15,29,,,,
asura,Karate (Baron Inn 2),Asura,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,34,,,,
asura,Eblan Royalty (Upper Babil 1),Asura,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,17,,,,
asura,Leviatan (Feymarch),Asura,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
asura,Dr Lugae (Lower Babil - Top),Asura,25,18943,26020,11000,6,99,86,1,50,1,0,0,0,27,27,7,,,,
asura,Magus Sisters (Zot 1),Asura,16,9000,9000,9000,5,80,60,1,45,2,3,60,11,7,7,11,,,,
asura,Milon (Ordeals 1),Asura,15,2780,3800,3300,1,75,19,1,35,2,0,0,0,8,8,14,,,,
asura,Milon Z (Ordeals 2),Asura,15,3000,4000,3000,3,99,44,1,60,1,6,40,22,9,9,31,,,,
asura,Dark Knight Cecil (Ordeals 3),Asura,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,19,,,,
asura,Mt Hobs,Asura,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
asura,Watery Passage,Asura,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,11,,,,
asura,Odin (Baron Castle Basement),Asura,53,20500,18000,0,9,85,116,2,90,3,7,50,32,43,46,95,,,,
asura,Kaipo Inn,Asura,11,302,880,245,3,75,26,1,65,2,2,60,12,2,4,13,,,,
asura,Ogopogo (Lunar Core),Asura,62,37000,61100,0,11,99,150,4,55,4,9,50,40,38,38,127,,,,
asura,Pale Dim (Lunar Sub),Asura,98,27300,59000,0,11,85,144,5,40,5,10,50,48,40,43,31,,,,
asura,Plague (Lunar Sub),Asura,96,28000,31200,550,11,90,146,4,50,5,7,50,32,29,32,106,,,,
asura,Rubicant (Upper Babil 2),Asura,50,25200,25000,7000,7,80,88,1,90,1,8,80,37,38,38,16,,,,
asura,Valvalis (Zot 2),Asura,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
asura,Wyvern (Lunar Sub),Asura,99,25000,64300,0,12,90,160,4,80,5,10,50,52,43,46,8,,,,
bahamut,Antlion Cave,Bahamut,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,1,,,,
bahamut,Asura (Feymarch),Bahamut,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
bahamut,Cave Bahamut,Bahamut,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
bahamut,Baigan (Baron Castle 1),Bahamut,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
bahamut,Calbrena (Dwarf Castle 1),Bahamut,47,8524,21000,8000,7,99,96,0,0,2,6,60,25,11,11,41,,,,
bahamut,CPU (Giant 2),Bahamut,48,24000,150000,10333,13,99,174,0,0,4,8,50,38,38,38,127,,,,
bahamut,Cave Magnes,Bahamut,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
bahamut,Dark Imp (Tower Key),Bahamut,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,6,,,,
bahamut,D Lunar (Lunar Sub),Bahamut,99,42000,100000,0,11,85,144,0,0,4,10,80,54,30,30,36,,,,
bahamut,Mist Cave,Bahamut,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
bahamut,Elements (Giant 1),Bahamut,79,65000,102500,20000,10,80,128,0,0,3,3,60,4,89,89,15,,,,
bahamut,Sealed Cave,Bahamut,37,19000,23000,8000,6,90,84,0,0,2,7,80,29,66,66,79,,,,
bahamut,Fabul Defense,Bahamut,15,1880,5590,1425,3,90,36,0,0,2,3,60,11,6,9,6,,,,
bahamut,Golbez (Dwarf Castle 2),Bahamut,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
bahamut,Baron Guards (Baron Inn 1),Bahamut,18,400,1440,1000,3,99,46,0,0,1,3,40,14,11,14,26,,,,
bahamut,Baron Throne Room,Bahamut,16,4000,5500,4000,3,99,44,0,0,2,10,50,48,15,15,29,,,,
bahamut,Karate (Baron Inn 2),Bahamut,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,12,,,,
bahamut,Eblan Royalty (Upper Babil 1),Bahamut,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,6,,,,
bahamut,Leviatan (Feymarch),Bahamut,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
bahamut,Dr Lugae (Lower Babil - Top),Bahamut,25,18943,26020,11000,6,99,86,0,0,1,0,0,0,27,27,7,,,,
bahamut,Magus Sisters (Zot 1),Bahamut,16,9000,9000,9000,5,80,60,0,0,2,3,60,11,7,7,11,,,,
bahamut,Milon (Ordeals 1),Bahamut,15,2780,3800,3300,1,75,19,0,0,2,0,0,0,8,8,14,,,,
bahamut,Milon Z (Ordeals 2),Bahamut,15,3000,4000,3000,3,99,44,0,0,1,6,40,22,9,9,31,,,,
bahamut,Dark Knight Cecil (Ordeals 3),Bahamut,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,7,,,,
bahamut,Mt Hobs,Bahamut,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
bahamut,Watery Passage,Bahamut,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,4,,,,
bahamut,Odin (Baron Castle Basement),Bahamut,53,20500,18000,0,9,85,116,0,0,3,7,50,32,43,46,95,,,,
bahamut,Kaipo Inn,Bahamut,11,302,880,245,3,75,26,0,0,2,2,60,12,2,4,4,,,,
bahamut,Ogopogo (Lunar Core),Bahamut,62,37000,61100,0,11,99,150,0,0,4,9,50,40,38,38,127,,,,
bahamut,Pale Dim (Lunar Sub),Bahamut,98,27300,59000,0,11,85,144,0,0,5,10,50,48,40,43,31,,,,
bahamut,Plague (Lunar Sub),Bahamut,96,28000,31200,550,11,90,146,0,0,5,7,50,32,29,32,35,,,,
bahamut,Rubicant (Upper Babil 2),Bahamut,50,25200,25000,7000,7,80,88,0,0,1,8,80,37,38,38,16,,,,
bahamut,Valvalis (Zot 2),Bahamut,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
bahamut,Wyvern (Lunar Sub),Bahamut,99,25000,64300,0,12,90,160,0,0,5,10,50,52,43,46,8,,,,
baigan,Antlion Cave,Baigan,2,834,1494,800,2,85,11,0,0,2,2,60,8,5,5,2,,,,
baigan,Antlion Cave,RightArm,2,84,4,0,2,60,12,0,0,2,0,0,0,1,2,2,,,,
baigan,Antlion Cave,Left Arm,2,84,4,0,2,60,12,0,0,2,0,0,0,4,4,2,,,,
baigan,Asura (Feymarch),Baigan,63,19167,19918,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
baigan,Asura (Feymarch),RightArm,63,1917,42,0,11,85,144,0,0,0,0,0,0,30,33,69,,,,
baigan,Asura (Feymarch),Left Arm,63,1917,42,0,11,85,144,0,0,0,0,0,0,39,42,69,,,,
baigan,Cave Bahamut,Baigan,47,30834,34855,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
baigan,Cave Bahamut,RightArm,47,3084,73,0,13,99,174,0,0,1,0,0,0,11,14,17,,,,
baigan,Cave Bahamut,Left Arm,47,3084,73,0,13,99,174,0,0,1,0,0,0,18,18,17,,,,
baigan,Baigan (Baron Castle 1),Baigan,9,3500,4800,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
baigan,Baigan (Baron Castle 1),RightArm,9,350,10,0,5,70,56,0,0,0,0,0,0,4,4,9,,,,
baigan,Baigan (Baron Castle 1),Left Arm,9,350,10,0,5,70,56,0,0,0,0,0,0,5,5,9,,,,
baigan,Calbrena (Dwarf Castle 1),Baigan,47,7104,20913,8000,7,99,96,1,80,2,6,60,25,11,11,41,,,,
baigan,Calbrena (Dwarf Castle 1),RightArm,47,711,44,0,8,80,102,1,80,2,0,0,0,5,5,41,,,,
baigan,Calbrena (Dwarf Castle 1),Left Arm,47,711,44,0,8,80,102,1,80,2,0,0,0,7,7,41,,,,
baigan,CPU (Giant 2),Baigan,48,20000,149378,10333,13,99,174,4,45,4,8,50,38,38,38,127,,,,
baigan,CPU (Giant 2),RightArm,48,2000,312,0,13,99,174,4,45,4,0,0,0,18,18,127,,,,
baigan,CPU (Giant 2),Left Arm,48,2000,312,0,13,99,174,4,45,4,0,0,0,21,24,127,,,,
baigan,Cave Magnes,Baigan,19,4167,6971,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
baigan,Cave Magnes,RightArm,19,417,15,0,5,70,58,0,0,3,0,0,0,5,5,15,,,,
baigan,Cave Magnes,Left Arm,19,417,15,0,5,70,58,0,0,3,0,0,0,7,7,15,,,,
baigan,Dark Imp (Tower Key),Baigan,16,498,5796,135,5,70,56,0,0,0,0,0,0,18,21,16,,,,
baigan,Dark Imp (Tower Key),RightArm,16,50,13,0,5,80,60,0,0,0,0,0,0,8,11,16,,,,
baigan,Dark Imp (Tower Key),Left Arm,16,50,13,0,5,80,60,0,0,0,0,0,0,11,14,16,,,,
baigan,D Lunar (Lunar Sub),Baigan,99,35000,99586,0,11,85,144,3,30,4,10,80,54,30,30,36,,,,
baigan,D Lunar (Lunar Sub),RightArm,99,3500,208,0,12,75,154,3,30,4,0,0,0,15,15,36,,,,
baigan,D Lunar (Lunar Sub),Left Arm,99,3500,208,0,12,75,154,3,30,4,0,0,0,18,18,36,,,,
baigan,Mist Cave,Baigan,10,388,698,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
baigan,Mist Cave,RightArm,10,39,2,0,4,60,17,0,0,5,0,0,0,1,2,10,,,,
baigan,Mist Cave,Left Arm,10,39,2,0,4,60,17,0,0,5,0,0,0,4,4,10,,,,
baigan,Elements (Giant 1),Baigan,79,65000,102075,20000,10,80,128,2,35,3,3,60,4,89,89,15,,,,
baigan,Elements (Giant 1),RightArm,79,8667,213,0,11,75,140,2,35,3,0,0,0,42,45,15,,,,
baigan,Elements (Giant 1),Left Arm,79,8667,213,0,11,75,140,2,35,3,0,0,0,53,53,15,,,,
baigan,Sealed Cave,Baigan,37,15834,22905,8000,6,90,84,1,35,2,7,80,29,66,66,79,,,,
baigan,Sealed Cave,RightArm,37,1584,48,0,7,80,90,1,35,2,0,0,0,30,33,79,,,,
baigan,Sealed Cave,Left Arm,37,1584,48,0,7,80,90,1,35,2,0,0,0,39,42,79,,,,
baigan,Fabul Defense,Baigan,15,1567,5567,1425,3,90,36,2,20,2,3,60,11,6,9,15,,,,
baigan,Fabul Defense,RightArm,15,157,12,0,4,70,40,2,20,2,0,0,0,2,4,15,,,,
baigan,Fabul Defense,Left Arm,15,157,12,0,4,70,40,2,20,2,0,0,0,3,6,15,,,,
baigan,Golbez (Dwarf Castle 2),Baigan,31,2502,19918,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
baigan,Golbez (Dwarf Castle 2),RightArm,31,251,42,0,6,70,74,0,0,0,0,0,0,11,14,1,,,,
baigan,Golbez (Dwarf Castle 2),Left Arm,31,251,42,0,6,70,74,0,0,0,0,0,0,18,18,1,,,,
baigan,Baron Guards (Baron Inn 1),Baigan,18,334,1435,1000,3,99,46,1,90,1,3,40,14,11,14,26,,,,
baigan,Baron Guards (Baron Inn 1),RightArm,18,34,3,0,4,90,50,1,90,1,0,0,0,4,7,26,,,,
baigan,Baron Guards (Baron Inn 1),Left Arm,18,34,3,0,4,90,50,1,90,1,0,0,0,6,9,26,,,,
baigan,Baron Throne Room,Baigan,16,3334,5478,4000,3,99,44,2,50,2,10,50,48,15,15,29,,,,
baigan,Baron Throne Room,RightArm,16,334,12,0,4,80,46,2,50,2,0,0,0,8,8,29,,,,
baigan,Baron Throne Room,Left Arm,16,334,12,0,4,80,46,2,50,2,0,0,0,9,9,29,,,,
baigan,Karate (Baron Inn 2),Baigan,31,3334,0,0,6,99,86,0,0,0,0,0,0,4,7,31,,,,
baigan,Karate (Baron Inn 2),RightArm,31,334,0,0,7,90,92,0,0,0,0,0,0,2,4,31,,,,
baigan,Karate (Baron Inn 2),Left Arm,31,334,0,0,7,90,92,0,0,0,0,0,0,2,4,31,,,,
baigan,Eblan Royalty (Upper Babil 1),Baigan,15,5000,0,0,9,85,116,0,0,0,0,0,0,53,53,15,,,,
baigan,Eblan Royalty (Upper Babil 1),RightArm,15,500,0,0,10,75,126,0,0,0,0,0,0,27,27,15,,,,
baigan,Eblan Royalty (Upper Babil 1),Left Arm,15,500,0,0,10,75,126,0,0,0,0,0,0,31,34,15,,,,
baigan,Leviatan (Feymarch),Baigan,79,29167,27884,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
baigan,Leviatan (Feymarch),RightArm,79,2917,59,0,13,99,174,0,0,5,0,0,0,27,27,34,,,,
baigan,Leviatan (Feymarch),Left Arm,79,2917,59,0,13,99,174,0,0,5,0,0,0,31,34,34,,,,
baigan,Dr Lugae (Lower Babil - Top),Baigan,25,15786,25913,11000,6,99,86,1,50,1,0,0,0,27,27,7,,,,
baigan,Dr Lugae (Lower Babil - Top),RightArm,25,1579,54,0,7,90,92,1,50,1,0,0,0,11,14,7,,,,
baigan,Dr Lugae (Lower Babil - Top),Left Arm,25,1579,54,0,7,90,92,1,50,1,0,0,0,18,18,7,,,,
baigan,Magus Sisters (Zot 1),Baigan,16,7500,8963,9000,5,80,60,1,45,2,3,60,11,7,7,11,,,,
baigan,Magus Sisters (Zot 1),RightArm,16,750,19,0,5,90,64,1,45,2,0,0,0,4,4,11,,,,
baigan,Magus Sisters (Zot 1),Left Arm,16,750,19,0,5,90,64,1,45,2,0,0,0,4,4,11,,,,
baigan,Milon (Ordeals 1),Baigan,15,2317,3785,3300,1,75,19,1,35,2,0,0,0,8,8,14,,,,
baigan,Milon (Ordeals 1),RightArm,15,232,8,0,1,80,20,1,35,2,0,0,0,4,4,14,,,,
baigan,Milon (Ordeals 1),Left Arm,15,232,8,0,1,80,20,1,35,2,0,0,0,5,5,14,,,,
baigan,Milon Z (Ordeals 2),Baigan,15,2500,3984,3000,3,99,44,1,60,1,6,40,22,9,9,31,,,,
baigan,Milon Z (Ordeals 2),RightArm,15,250,9,0,4,80,46,1,60,1,0,0,0,5,5,31,,,,
baigan,Milon Z (Ordeals 2),Left Arm,15,250,9,0,4,80,46,1,60,1,0,0,0,5,5,31,,,,
baigan,Dark Knight Cecil (Ordeals 3),Baigan,17,834,0,0,3,99,46,0,0,0,3,60,11,5,5,17,,,,
baigan,Dark Knight Cecil (Ordeals 3),RightArm,17,84,0,0,4,90,50,0,0,0,0,0,0,1,2,17,,,,
baigan,Dark Knight Cecil (Ordeals 3),Left Arm,17,84,0,0,4,90,50,0,0,0,0,0,0,4,4,17,,,,
baigan,Mt Hobs,Baigan,15,1042,4342,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
baigan,Mt Hobs,RightArm,15,105,10,0,3,85,32,0,0,0,0,0,0,4,4,5,,,,
baigan,Mt Hobs,Left Arm,15,105,10,0,3,85,32,0,0,0,0,0,0,4,4,5,,,,
baigan,Watery Passage,Baigan,10,1959,1196,500,2,99,22,0,0,0,6,60,25,31,31,10,,,,
baigan,Watery Passage,RightArm,10,196,3,0,3,75,24,0,0,0,0,0,0,15,15,10,,,,
baigan,Watery Passage,Left Arm,10,196,3,0,3,75,24,0,0,0,0,0,0,18,18,10,,,,
baigan,Odin (Baron Castle Basement),Baigan,53,17084,17926,0,9,85,116,2,90,3,7,50,32,43,46,95,,,,
baigan,Odin (Baron Castle Basement),RightArm,53,1709,38,0,10,75,126,2,90,3,0,0,0,20,23,95,,,,
baigan,Odin (Baron Castle Basement),Left Arm,53,1709,38,0,10,75,126,2,90,3,0,0,0,26,29,95,,,,
baigan,Kaipo Inn,Baigan,11,252,877,245,3,75,26,1,65,2,2,60,12,2,4,11,,,,
baigan,Kaipo Inn,RightArm,11,26,2,0,3,80,28,1,65,2,0,0,0,1,2,11,,,,
baigan,Kaipo Inn,Left Arm,11,26,2,0,3,80,28,1,65,2,0,0,0,1,2,11,,,,
baigan,Ogopogo (Lunar Core),Baigan,62,30834,60847,0,11,99,150,4,55,4,9,50,40,38,38,127,,,,
baigan,Ogopogo (Lunar Core),RightArm,62,3084,127,0,12,95,162,4,55,4,0,0,0,18,18,127,,,,
baigan,Ogopogo (Lunar Core),Left Arm,62,3084,127,0,12,95,162,4,55,4,0,0,0,21,24,127,,,,
baigan,Pale Dim (Lunar Sub),Baigan,98,22750,58756,0,11,85,144,5,40,5,10,50,48,40,43,31,,,,
baigan,Pale Dim (Lunar Sub),RightArm,98,2275,123,0,12,75,154,5,40,5,0,0,0,19,22,31,,,,
baigan,Pale Dim (Lunar Sub),Left Arm,98,2275,123,0,12,75,154,5,40,5,0,0,0,24,27,31,,,,
baigan,Plague (Lunar Sub),Baigan,96,23334,31071,550,11,90,146,4,50,5,7,50,32,29,32,96,,,,
baigan,Plague (Lunar Sub),RightArm,96,2334,65,0,12,80,156,4,50,5,0,0,0,13,16,96,,,,
baigan,Plague (Lunar Sub),Left Arm,96,2334,65,0,12,80,156,4,50,5,0,0,0,17,20,96,,,,
baigan,Rubicant (Upper Babil 2),Baigan,50,21000,24897,7000,7,80,88,1,90,1,8,80,37,38,38,16,,,,
baigan,Rubicant (Upper Babil 2),RightArm,50,2100,52,0,7,90,94,1,90,1,0,0,0,18,18,16,,,,
baigan,Rubicant (Upper Babil 2),Left Arm,50,2100,52,0,7,90,94,1,90,1,0,0,0,21,24,16,,,,
baigan,Valvalis (Zot 2),Baigan,36,5000,9461,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
baigan,Valvalis (Zot 2),RightArm,36,500,20,0,6,70,74,0,0,0,0,0,0,9,9,63,,,,
baigan,Valvalis (Zot 2),Left Arm,36,500,20,0,6,70,74,0,0,0,0,0,0,11,11,63,,,,
baigan,Wyvern (Lunar Sub),Baigan,99,20834,64034,0,12,90,160,4,80,5,10,50,52,43,46,8,,,,
baigan,Wyvern (Lunar Sub),RightArm,99,2084,134,0,13,99,172,4,80,5,0,0,0,20,23,8,,,,
baigan,Wyvern (Lunar Sub),Left Arm,99,2084,134,0,13,99,172,4,80,5,0,0,0,26,29,8,,,,
calbrena,Antlion Cave,Cal,2,118,72,50,1,60,6,0,0,0,1,55,2,8,8,2,,,,
calbrena,Antlion Cave,Brena,1,36,72,50,1,60,6,0,0,1,1,55,2,8,8,2,,,,
calbrena,Antlion Cave,Calbrena,2,543,1072,500,2,85,11,0,0,2,2,60,8,5,5,2,scriptHP: 12,,,
calbrena,Asura (Feymarch),Cal,42,2699,953,0,6,80,76,0,0,0,4,60,17,111,111,53,,,,
calbrena,Asura (Feymarch),Brena,21,810,953,0,6,80,76,0,0,0,4,60,17,111,111,53,,,,
calbrena,Asura (Feymarch),Calbrena,63,12477,14286,0,10,99,134,0,0,0,8,80,37,66,66,69,scriptHP: 270,,,
calbrena,Cave Bahamut,Cal,31,4341,1667,0,7,99,98,0,0,0,1,55,2,40,43,13,,,,
calbrena,Cave Bahamut,Brena,15,1303,1667,0,7,99,98,0,0,0,1,55,2,40,43,13,,,,
calbrena,Cave Bahamut,Calbrena,47,20072,25000,0,13,99,174,0,0,1,1,60,8,27,27,17,scriptHP: 435,,,
calbrena,Baigan (Baron Castle 1),Cal,6,493,230,188,3,80,30,0,0,0,1,60,6,11,14,7,,,,
calbrena,Baigan (Baron Castle 1),Brena,3,148,230,188,3,80,30,0,0,0,1,60,6,11,14,7,,,,
calbrena,Baigan (Baron Castle 1),Calbrena,9,2279,3443,1875,4,99,52,0,0,0,3,60,11,8,8,9,scriptHP: 50,,,
calbrena,Calbrena (Dwarf Castle 1),Cal,31,1000,1000,500,4,99,54,0,0,0,3,60,11,16,19,31,,,,
calbrena,Calbrena (Dwarf Castle 1),Brena,15,300,1000,500,4,99,54,1,40,1,3,60,11,16,19,31,,,,
calbrena,Calbrena (Dwarf Castle 1),Calbrena,47,4624,15000,5000,7,99,96,1,80,2,6,60,25,11,11,41,scriptHP: 100,,,
calbrena,CPU (Giant 2),Cal,32,2816,7143,646,7,99,98,0,0,0,4,60,17,65,65,97,,,,
calbrena,CPU (Giant 2),Brena,16,845,7143,646,7,99,98,2,20,2,4,60,17,65,65,97,,,,
calbrena,CPU (Giant 2),Calbrena,48,13020,107143,6459,13,99,174,4,45,4,8,50,38,38,38,127,scriptHP: 282,,,
calbrena,Cave Magnes,Cal,13,587,334,563,3,80,30,0,0,0,9,75,112,16,19,12,,,,
calbrena,Cave Magnes,Brena,7,176,334,563,3,80,30,0,0,1,9,75,112,16,19,12,,,,
calbrena,Cave Magnes,Calbrena,19,2713,5000,5625,4,99,54,0,0,3,99,99,254,11,11,15,scriptHP: 59,,,
calbrena,Dark Imp (Tower Key),Cal,11,71,278,9,3,85,32,0,0,0,0,0,0,27,30,11,,,,
calbrena,Dark Imp (Tower Key),Brena,6,22,278,9,3,85,32,0,0,0,0,0,0,27,30,11,,,,
calbrena,Dark Imp (Tower Key),Calbrena,16,324,4158,85,5,70,56,0,0,0,0,0,0,18,21,14,scriptHP: 8,,,
calbrena,D Lunar (Lunar Sub),Cal,66,4928,4762,0,6,90,80,0,0,0,3,75,24,43,46,28,,,,
calbrena,D Lunar (Lunar Sub),Brena,32,1479,4762,0,6,90,80,3,15,3,3,75,24,43,46,28,,,,
calbrena,D Lunar (Lunar Sub),Calbrena,99,22784,71429,0,11,85,144,3,30,4,10,80,54,30,30,36,scriptHP: 493,,,
calbrena,Mist Cave,Cal,7,55,34,13,2,85,11,0,0,0,2,85,13,8,8,8,,,,
